sample,time(ns)
0,245543
1,251233
2,287043
3,265784
4,257943
5,262163
6,457676
7,248383
8,253463
9,243924
10,254883
11,266044
12,245594
13,238103
14,247433
15,395755
16,236712
17,271954
18,272063
19,319424
20,261293
21,379314
22,245743
23,251493
24,246563
25,253943
26,353004
27,241533
28,232773
29,232123
