sample,time(ns)
0,1090
1,700
2,660
3,780
4,760
5,530
6,680
7,800
8,560
9,660
10,740
11,630
12,720
13,530
14,760
15,840
16,900
17,830
18,660
19,830
20,760
21,900
22,770
23,760
24,800
25,860
26,940
27,930
28,710
29,680
