sample,time(ns)
0,762901
1,761842
2,768462
3,761521
4,761192
5,761501
6,761162
7,761641
8,760871
9,761381
10,760972
11,761121
12,761741
13,762101
14,761651
15,764101
16,761531
17,762551
18,761152
19,763372
20,761441
21,764412
22,760511
23,762952
24,761081
25,762802
26,761411
27,762721
28,762441
29,761322
