sample,time(ns)
0,24987858
1,25371833
2,25487534
3,25016748
4,25084800
5,25493735
6,25149030
7,25621307
8,25035529
9,25405284
10,24810655
11,25464334
12,25508235
13,25184452
14,26719661
15,25546686
16,25209501
17,25253491
18,25507015
19,25688849
20,25680968
21,25499514
22,25651397
23,24807905
24,25576205
25,25134260
26,25649266
27,27149528
28,25664437
29,25392993
