sample,time(ns)
0,5297956715
1,5382844682
2,5333608603
3,5417372414
4,5336371087
5,5415665005
6,5402561477
7,5339910243
8,5337878498
9,5330153108
10,5340346846
11,5331739768
12,5419841478
13,5341243803
14,5400425126
15,5374816997
16,5313368808
17,5328225610
18,5331102785
19,5334829403
20,5338500457
21,5324956256
22,5328499237
23,5373425960
24,5327656573
25,5324377614
26,5338288016
27,5334033300
28,5331813078
29,5384158663
