sample,time(ns)
0,42827331
1,43030065
2,41440574
3,44798237
4,37722069
5,45224712
6,46172313
7,44213430
8,44027956
9,40993400
10,42566278
11,45782728
12,44774326
13,45107150
14,41252712
15,40644134
16,44755125
17,43770694
18,46401476
19,40831436
20,46376135
21,41543926
22,147677624
23,41259132
24,44306949
25,40874468
26,127785607
27,45538425
28,40781816
29,101859216
