sample,time(ns)
0,983202
1,1039343
2,1853333
3,1525659
4,2409670
5,2768123
6,1130653
7,2105837
8,2093186
9,413795
10,1933854
11,2426140
12,19930
13,4538066
14,1710741
15,1439088
16,3828457
17,846360
18,1085054
19,1670500
20,5194445
21,1265125
22,1833293
23,2383749
24,3239919
25,4573607
26,4551186
27,2641022
28,4641688
29,2009895
