sample,time(ns)
0,258053
1,1626200
2,378014
3,1191825
4,784820
5,872311
6,1221396
7,529797
8,857151
9,1472768
10,755079
11,1325166
12,769050
13,1571040
14,96372
15,1120064
16,528937
17,1049263
18,1054273
19,237073
20,805959
21,1129944
22,277823
23,104172
24,53161
25,956932
26,643408
27,480377
28,1312666
29,1026332
