sample,time(ns)
0,1641884
1,155343
2,144172
3,149173
4,139912
5,132942
6,132242
7,130841
8,130952
9,132282
10,115322
11,112451
12,107762
13,66791
14,61441
15,60811
16,60901
17,60790
18,60471
19,60551
20,60451
21,60671
22,61781
23,63641
24,62201
25,75682
26,61081
27,61331
28,60891
29,60891
