sample,time(ns)
0,894584
1,894124
2,895814
3,1237280
4,892514
5,889984
6,891764
7,890424
8,898524
9,905534
10,896844
11,895444
12,897034
13,900425
14,1393742
15,900004
16,892704
17,893424
18,892204
19,889093
20,893804
21,895114
22,898574
23,900454
24,891924
25,1244590
26,890084
27,894734
28,890384
29,887914
