sample,time(ns)
0,607839
1,603109
2,610349
3,602659
4,606679
5,612219
6,607399
7,602849
8,607140
9,614919
10,607429
11,609679
12,614749
13,607759
14,611879
15,605869
16,612469
17,653450
18,1690625
19,603019
20,600589
21,598799
22,599439
23,608329
24,596689
25,597509
26,614039
27,607759
28,607519
29,610699
