sample,time(ns)
0,272824
1,269454
2,268654
3,269913
4,268903
5,272344
6,305454
7,270474
8,270354
9,281084
10,270904
11,274644
12,271253
13,274004
14,271674
15,272624
16,271763
17,270073
18,270894
19,272774
20,268844
21,275924
22,269134
23,294724
24,271404
25,269663
26,271274
27,278503
28,270203
29,272604
