sample,time(ns)
0,48981
1,361625
2,282374
3,263304
4,387915
5,285484
6,99382
7,351314
8,89221
9,283654
10,259364
11,357875
12,96932
13,76581
14,402766
15,364635
16,202233
17,51051
18,204283
19,391136
20,169762
21,374765
22,209493
23,62521
24,324025
25,388606
26,308034
27,182723
28,213584
29,76881
