sample,time(ns)
0,2380
1,2360
2,2550
3,2350
4,2340
5,2070
6,2320
7,2410
8,2330
9,2460
10,2040
11,2360
12,2000
13,1970
14,2320
15,2010
16,2500
17,2410
18,2390
19,2360
20,1970
21,2420
22,2410
23,2070
24,2320
25,2070
26,2340
27,3590
28,2330
29,2341
