sample,time(ns)
0,2130011
1,2117471
2,1901007
3,2028399
4,2551057
5,1816456
6,2517496
7,2435785
8,2281203
9,2400274
10,2664039
11,2352884
12,2375184
13,2153241
14,2153601
15,2674988
16,2475756
17,2293273
18,2456206
19,1671844
20,1847167
21,2008579
22,2276763
23,2205192
24,2009059
25,2421625
26,2241062
27,2362514
28,2125641
29,2368514
