sample,time(ns)
0,8380
1,8810
2,10971
3,19260
4,10990
5,9810
6,13661
7,12251
8,10661
9,10791
10,15701
11,15900
12,12500
13,11300
14,10540
15,10490
16,10540
17,9710
18,9560
19,9130
20,10200
21,20480
22,19020
23,8980
24,9550
25,9030
26,9250
27,16020
28,8840
29,8780
