sample,time(ns)
0,9372370963
1,5869592318
2,5965806548
3,5832769504
4,5816338058
5,9439520119
6,5917022220
7,5917167458
8,5795151572
9,5887860041
10,9233910128
11,5992750116
12,5858558698
13,5733770880
14,5849258183
15,5849178111
16,5900474573
17,5937743453
18,5903268693
19,5842470690
20,9307964645
21,5839061926
22,5992768781
23,5998796780
24,5844546595
25,5906467552
26,9279956879
27,9286041597
28,6198780586
29,6001531684
