sample,time(ns)
0,1241658
1,1214778
2,1239939
3,1235598
4,1231148
5,1238717
6,1243128
7,1234938
8,1236918
9,1237408
10,1230417
11,1239568
12,1232248
13,1233248
14,1236888
15,1232478
16,1229107
17,1228897
18,1231278
19,1239378
20,1236668
21,1244628
22,1246758
23,1242038
24,1243959
25,1236928
26,1239228
27,1235628
28,1238558
29,1231748
