sample,time(ns)
0,5611857
1,5554695
2,5403295
3,5429365
4,5437794
5,5538536
6,5648648
7,5622977
8,5689667
9,5557567
10,5485566
11,5420604
12,5641767
13,5531496
14,5488125
15,5556026
16,5545455
17,5472196
18,5491455
19,5620996
20,5610687
21,5656718
22,5590717
23,5687507
24,5579317
25,5670998
26,5699699
27,5597386
28,5534727
29,5624707
