sample,time(ns)
0,3494741
1,3485982
2,3496282
3,3494563
4,3490032
5,3482312
6,3478721
7,3495742
8,3486262
9,3496562
10,3484562
11,3488271
12,3508912
13,3488011
14,3499452
15,3488751
16,3489681
17,3485632
18,3503743
19,3496092
20,3514193
21,3512572
22,3526012
23,3487992
24,3504122
25,4890453
26,3500993
27,3485792
28,3498052
29,3496862
